formula,defectid,site,Eb_sum,Vr_max,Eg,Ev
Mn2O5Sr2,0145133,1,3.9283344465885257,-0.5156224113418986,0.6477,3.162
Mn2O5Sr2,0145133,2,10.898766172074694,-0.5156224113418986,0.6477,3.2408
Mn2O5Sr2,0145133,3,10.898766172074694,-0.5156224113418986,0.6477,3.5082
Mn4Nb2O9,0147238,1,12.73512179786842,-1.6041816447738562,2.365,5.1592
Mn4Nb2O9,0147238,2,9.537296685369704,-1.6041816447738562,2.365,5.6565
Ni1O3Ti1,0149539,1,9.786061965195364,-1.242157708529182,2.2791,5.0491
Al1Nb1O4,0151582,1,7.444976882911812,-1.6041816447738562,3.5385,5.8591
Al1Nb1O4,0151582,2,12.227669888628274,-1.6041816447738562,3.5385,5.9759
Al1Nb1O4,0151582,3,12.76954463730251,-1.6041816447738562,3.5385,6.3338
Al1Nb1O4,0151582,4,12.227669888628274,-1.6041816447738562,3.5385,5.6034
Ba3Ni1O4,0154647,1,10.180656153899415,-2.8403280769497066,1.5908,3.965
Ba3Ni1O4,0154647,2,10.071266031092573,-1.242157708529182,1.5908,4.1209
Ca1Co2O4,0155087,1,,,1.5016,4.3137
Ca1Co2O4,0155087,2,,,1.5016,3.3239
Ca1Co2O4,0155087,3,,,1.5016,3.9338
Ca1Co2O4,0155087,4,,,1.5016,3.5178
Co1O3Y1,0155205,1,,,0.9879,2.4751
Co1O3Y1,0155205,2,,,0.9879,2.5041
Fe1O3Sr1,0159544,1,,,0.0467,0.934
Fe2O7Sr3,0159759,1,,,0.0367,1.0297
Fe2O7Sr3,0159759,2,,,0.0367,1.6842
Fe2O7Sr3,0159759,3,,,0.0367,0.5224
Fe1O5Ti2,0159784,1,,-1.9122077365342869,1.1405,5.4368
Fe1O5Ti2,0159784,2,,-1.9122077365342869,1.1405,5.287
Fe1O5Ti2,0159784,3,,-1.9122077365342869,1.1405,5.2491
Fe1O2Sr1,0160074,1,,,0.1476,4.9163
Co1La1O3,0169397,1,,,1.0736,2.6204
Co1La1O3,0169397,2,,,1.0736,2.4289
Ba2Fe1O4,0169441,1,,,0.7901,2.2037
Ba2Fe1O4,0169441,2,,,0.7901,2.4015
Ba2Fe1O4,0169441,3,,,0.7901,2.6558
Ba2Fe1O4,0169441,4,,,0.7901,2.7749
Co4Nb2O9,0170357,1,12.716581637402573,-1.2318970816502175,2.1252,4.9564
Co4Nb2O9,0170357,2,9.509486444670934,-1.2318970816502175,2.1252,5.3286
Ca1Fe1O2,0170770,1,,,1.4027,5.363
Co5O15Sr6,0171017,1,,,0.9149,2.8092
Co5O15Sr6,0171017,2,,,0.9149,2.8073
Co5O15Sr6,0171017,3,,,0.9149,2.8191
Co5O15Sr6,0171017,4,,,0.9149,2.9466
Co5O15Sr6,0171017,5,,,0.9149,3.075
Co5O15Sr6,0171017,6,,,0.9149,2.9496
Co5O15Sr6,0171017,7,,,0.9149,1.6966
Co5O15Sr6,0171017,8,,,0.9149,1.7103
Co5O15Sr6,0171017,9,,,0.9149,1.7076
Co5O15Sr6,0171017,10,,,0.9149,1.101
Co5O15Sr6,0171017,11,,,0.9149,1.1027
Co5O15Sr6,0171017,12,,,0.9149,1.112
Co5O15Sr6,0171017,13,,,0.9149,0.9633
Co5O15Sr6,0171017,14,,,0.9149,1.124
Co5O15Sr6,0171017,15,,,0.9149,0.6908
Fe1La1O3,0174238,1,10.03946117124455,-1.2626789622871115,1.999,4.3781
Fe1La1O3,0174238,2,12.984696792882033,-1.2626789622871115,1.999,4.3816
Fe1La3O6,0174252,1,11.780942486549932,-3.100471243274967,2.5923,5.2854
Fe1La3O6,0174252,2,10.910201828897241,-1.2626789622871115,2.5923,4.98
Fe1La3O6,0174252,3,13.855437450534724,-1.2626789622871115,2.5923,4.9114
Fe1La3O6,0174252,4,10.910201828897241,-1.2626789622871115,2.5923,5.4253
Fe1Nb2O6,0176178,1,,-1.6041816447738562,1.6559,5.2949
Fe1Nb2O6,0176178,2,,-1.6041816447738562,1.6559,5.0063
Fe1Nb2O6,0176178,3,14.348079017149388,-1.6041816447738562,1.6559,5.7039
In1Nb1O4,0176585,1,11.435075778035046,-1.5993795332042406,3.229,4.5288
In1Nb1O4,0176585,2,8.522072538920703,-1.5993795332042406,3.229,4.8115
Mn2O7Y2,0179580,1,10.553571597126675,-0.433744681701679,1.0635,2.1894
Mn2O7Y2,0179580,2,12.09464451327518,-3.290655589970924,1.0635,5.5944
